Title,Job,Average Salary ($/yr)
"Meta Data Scientist salaries - 1,513 salaries reported",data scientist,231744
Ascendum Solutions Data Scientist salaries - 602 salaries reported,data scientist,110757
IBM Data Scientist salaries - 588 salaries reported,data scientist,140619
Google Data Scientist salaries - 545 salaries reported,data scientist,233727
Amazon Data Scientist salaries - 532 salaries reported,data scientist,202119
"Quora, Inc. Data Scientist salaries - 514 salaries reported",data scientist,153548
Oracle Data Scientist salaries - 496 salaries reported,data scientist,187332
Expedia Group Data Scientist salaries - 427 salaries reported,data scientist,178037
Microsoft Data Scientist salaries - 419 salaries reported,data scientist,201231
Booz Allen Hamilton Data Scientist salaries - 393 salaries reported,data scientist,109601
Walmart Data Scientist salaries - 265 salaries reported,data scientist,153906
Apple Data Scientist salaries - 242 salaries reported,data scientist,213182
Wayfair Data Scientist salaries - 215 salaries reported,data scientist,159556
Intel Corporation Data Scientist salaries - 212 salaries reported,data scientist,191262
Cisco Systems Data Scientist salaries - 205 salaries reported,data scientist,193485
Uber Data Scientist salaries - 201 salaries reported,data scientist,201501
Ford Motor Company Data Scientist salaries - 175 salaries reported,data scientist,123653
ServiceNow Data Scientist salaries - 166 salaries reported,data scientist,179000
Capital One Data Scientist salaries - 157 salaries reported,data scientist,141362
Airbnb Data Scientist salaries - 152 salaries reported,data scientist,218208
Google Data Analyst salaries - 477 salaries reported,data analyst,140638
Amazon Data Analyst salaries - 455 salaries reported,data analyst,107616
Bloomberg L.P. Data Analyst salaries - 453 salaries reported,data analyst,104537
Capital One Data Analyst salaries - 335 salaries reported,data analyst,86067
Apple Data Analyst salaries - 230 salaries reported,data analyst,116220
Meta Data Analyst salaries - 216 salaries reported,data analyst,139571
Cisco Systems Data Analyst salaries - 209 salaries reported,data analyst,135362
Apex Systems Data Analyst salaries - 172 salaries reported,data analyst,36
Qualcomm Data Analyst salaries - 168 salaries reported,data analyst,108991
IBM Data Analyst salaries - 168 salaries reported,data analyst,82436
Microsoft Data Analyst salaries - 156 salaries reported,data analyst,131263
Wayfair Data Analyst salaries - 156 salaries reported,data analyst,80660
JPMorgan Chase & Co Data Analyst salaries - 147 salaries reported,data analyst,82965
Deloitte Data Analyst salaries - 143 salaries reported,data analyst,85581
Tata Consultancy Services Data Analyst salaries - 142 salaries reported,data analyst,74983
Comscore Data Analyst salaries - 139 salaries reported,data analyst,69020
Centene Data Analyst salaries - 134 salaries reported,data analyst,71535
Accenture Data Analyst salaries - 134 salaries reported,data analyst,79687
IHME Data Analyst salaries - 133 salaries reported,data analyst,65431
AT&T Data Analyst salaries - 132 salaries reported,data analyst,85113
Meta Data Engineer salaries - 875 salaries reported,data engineer,222327
Amazon Data Engineer salaries - 504 salaries reported,data engineer,178623
Cisco Systems Data Engineer salaries - 410 salaries reported,data engineer,177936
Capital One Data Engineer salaries - 252 salaries reported,data engineer,129948
IBM Data Engineer salaries - 225 salaries reported,data engineer,113866
Cognizant Technology Solutions Data Engineer salaries - 150 salaries reported,data engineer,98309
Accenture Data Engineer salaries - 107 salaries reported,data engineer,103782
Tata Consultancy Services Data Engineer salaries - 98 salaries reported,data engineer,95111
Apple Data Engineer salaries - 97 salaries reported,data engineer,188323
DXC Technology Data Engineer salaries - 94 salaries reported,data engineer,98240
Google Data Engineer salaries - 83 salaries reported,data engineer,226760
Optum Data Engineer salaries - 82 salaries reported,data engineer,114030
Aetna Data Engineer salaries - 78 salaries reported,data engineer,112365
USAA Data Engineer salaries - 71 salaries reported,data engineer,116633
Amazon Data Engineer I salaries - 70 salaries reported,data engineer,144543
The Hartford Data Engineer salaries - 69 salaries reported,data engineer,115272
Fidelity Investments Data Engineer salaries - 65 salaries reported,data engineer,137359
CVS Health Data Engineer salaries - 64 salaries reported,data engineer,116192
Capgemini Data Engineer salaries - 62 salaries reported,data engineer,106633
Agilent Technologies Data Engineer salaries - 60 salaries reported,data engineer,133932
